Data from S118521__7__17-04-08-012.txt Node

Date: Tue Aug 23 17:04:08 PDT 2022
User: cemma
Spectrometer: S11852
Trigger mode: 0
Resolution mode: 1024 pixels
Integration Time (sec): 1.000000E-1
Scans to average: 1
Nonlinearity correction enabled: false
Boxcar width: 0
Baseline correction enabled: true
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1024
>>>>>Begin Spectral Data<<<<<
188.378	0
188.827	0
189.275	0
189.723	2
190.172	3
190.62	2
191.068	5
191.517	2
191.965	5
192.414	3
192.863	2
193.311	2
193.76	-4
194.208	4
194.657	-1
195.106	-1
195.555	4
196.004	0
196.452	2
196.901	3
197.35	-6
197.799	2
198.248	2
198.697	-2
199.146	-4
199.596	0
200.045	-6
200.494	-1
200.943	0
201.392	0
201.842	4
202.291	-2
202.74	-2
203.19	1
203.639	-4
204.089	0
204.538	-1
204.988	4
205.437	2
205.887	0
206.337	-5
206.786	2
207.236	3
207.686	1
208.136	3
208.586	-3
209.036	-4
209.486	5
209.936	4
210.386	0
210.836	-5
211.286	-3
211.736	4
212.186	3
212.636	0
213.086	2
213.537	3
213.987	-1
214.437	5
214.888	0
215.338	-3
215.789	0
216.239	1
216.69	-2
217.14	1
217.591	-7
218.041	1
218.492	2
218.943	3
219.394	2
219.844	3
220.295	-9
220.746	2
221.197	4
221.648	3
222.099	1
222.55	2
223.001	4
223.452	0
223.903	2
224.354	2
224.806	3
225.257	-2
225.708	0
226.16	4
226.611	3
227.062	1
227.514	2
227.965	1
228.417	-2
228.868	4
229.32	1
229.772	8
230.223	-5
230.675	-1
231.127	0
231.578	0
232.03	0
232.482	-5
232.934	-4
233.386	3
233.838	4
234.29	0
234.742	1
235.194	1
235.646	4
236.098	0
236.551	4
237.003	1
237.455	0
237.907	1
238.36	4
238.812	1
239.265	4
239.717	-2
240.17	1
240.622	-3
241.075	4
241.527	-1
241.98	1
242.433	4
242.886	3
243.338	7
243.791	1
244.244	3
244.697	6
245.15	8
245.603	12
246.056	9
246.509	11
246.962	8
247.415	13
247.868	9
248.321	13
248.775	19
249.228	18
249.681	22
250.135	18
250.588	21
251.042	17
251.495	23
251.949	21
252.402	12
252.856	20
253.309	18
253.763	8
254.217	17
254.671	15
255.124	13
255.578	13
256.032	9
256.486	4
256.94	12
257.394	16
257.848	7
258.302	11
258.756	13
259.21	12
259.664	5
260.119	7
260.573	5
261.027	6
261.482	1
261.936	8
262.39	3
262.845	5
263.299	7
263.754	3
264.209	6
264.663	5
265.118	6
265.573	-3
266.027	3
266.482	1
266.937	7
267.392	-2
267.847	4
268.302	-2
268.757	3
269.212	2
269.667	4
270.122	0
270.577	2
271.032	2
271.487	-1
271.943	1
272.398	1
272.853	0
273.309	3
273.764	0
274.22	4
